the,wicked,and,of,to,in,gladiator,is,for,on
0.15735644461061563,0.0,0.0,0.1362783855985153,0.044102683235562684,0.0,0.11931768742589213,0.0,0.05733608243089177,0.16793355877211746
0.11301001026105159,0.09120453811132499,0.039591996830222395,0.08156016844939562,0.0,0.041689093742568295,0.0,0.0,0.0,0.050252610792263445
0.1423354837005089,0.04594864478914575,0.0,0.04108983266216256,0.0,0.04200574663555721,0.0,0.0,0.05186288395424685,0.10126861714720702
0.06160978271798303,0.09944414238973538,0.0,0.04446424033589501,0.0,0.1818214865218513,0.0,0.054278561272252154,0.0,0.0
0.027912646484156468,0.0,0.039115735272336846,0.08057906176125137,0.07823147054467369,0.0,0.21165147933199602,0.0,0.0,0.0
0.19251481153385855,0.0,0.03372287901935663,0.03473484433245074,0.06744575803871326,0.07101820454956584,0.09123562655907037,0.04240165495100251,0.13152517915520112,0.04280316351360944
0.03039286043507056,0.0,0.0,0.04386950874559207,0.0,0.044847383160326465,0.05761451064721546,0.0,0.0,0.0
0.07321823585952814,0.11818130743406903,0.0,0.05284214766883188,0.0,0.10804005384522442,0.0,0.0,0.0,0.0
0.0480725821582786,0.07759379264609446,0.03368355628027286,0.0,0.0,0.0,0.0,0.04235221227994819,0.0,0.21376626330700088
0.0,0.06269984205443396,0.10887229952722494,0.0,0.05443614976361247,0.0,0.0,0.0,0.0,0.0
0.11355625235665985,0.061096921248646026,0.10608898032947228,0.0,0.0,0.11170826934984907,0.0,0.06669579331367237,0.0,0.0
0.08196219657714546,0.0,0.05742937319595659,0.0,0.05742937319595659,0.18141382459261968,0.23305860881956258,0.07220915109026063,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.05216840132289764,0.0,0.0,0.09058545649528214,0.0,0.0,0.05694907109928719,0.058883210947870024,0.05748833164714309
0.13929684472889814,0.14989237802346744,0.1301369137648803,0.0,0.06506845688244015,0.0,0.0,0.0,0.08459282142847416,0.0
0.04251031944950136,0.0,0.0,0.06136003009166856,0.0,0.0,0.0,0.0,0.0,0.0
0.19242222185206584,0.0,0.0,0.0,0.10786131217980405,0.0,0.0,0.06781001911173226,0.0,0.0
0.05540551707468174,0.13414478722573095,0.0,0.0,0.03882160618038015,0.0,0.0,0.048812568729951517,0.0,0.1970991333505029
0.1469473725130063,0.09487490324626993,0.082370613269463,0.0,0.0,0.043366797498859494,0.0,0.05178458102508817,0.0,0.0
0.08694285516008694,0.14033416913489927,0.12183845441504221,0.08366307723180523,0.0,0.04276398560496481,0.0,0.0,0.1055981050447029,0.0
0.0829693544933282,0.0892803700778801,0.03875671323295252,0.0,0.0,0.12242870128912253,0.0,0.0,0.0,0.04919241719569487
0.0,0.06860750613994368,0.02978259878150543,0.0,0.05956519756301086,0.0,0.0,0.0,0.07743826059842164,0.03780191616419477
0.0,0.12211763580566244,0.10602281750126391,0.0,0.0,0.11163860202896905,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03358288621728683,0.1084120466432148,0.094123592881243,0.048474039610680274,0.0,0.0,0.0,0.05917341911715642,0.0,0.059733742398917974
0.09156396803109709,0.09852872788437682,0.042771436190187834,0.0,0.042771436190187834,0.1351108220545139,0.0,0.053778910100000285,0.05560538296478887,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14097823675363041,0.15170166415243408,0.0658538701104045,0.0,0.131707740220809,0.0,0.0,0.0,0.0,0.0
0.1601473536972638,0.05169866064066323,0.0897697965736519,0.046231816505817674,0.0,0.047262348002532394,0.0,0.056436283763803836,0.0,0.11394137728039049
0.0,0.0,0.08108270030097392,0.0,0.08108270030097392,0.0,0.0,0.05097489865387886,0.0,0.0
0.02493839487920583,0.0,0.0698954613827615,0.03599645168613129,0.03494773069138075,0.0,0.0,0.0,0.0,0.0
0.16179466255054714,0.1044608875458961,0.04534659364812666,0.04670736654692151,0.0,0.0,0.0,0.0,0.0,0.05755670094453871
0.20305045820785636,0.09364087412060233,0.0,0.12560831333364267,0.12194883943724895,0.0,0.0,0.05111102375062565,0.052846888196344165,0.0
0.1397768170037066,0.11280664433217821,0.0,0.0504389863951357,0.048969496445188894,0.20625319168256534,0.0,0.12314415327359302,0.06366322588092728,0.06215511321911224
0.13800620704699773,0.0742517843693197,0.0,0.09960011036026398,0.0,0.0,0.0,0.0,0.04190451855341196,0.08182369206207661
0.08771468678442249,0.0,0.0,0.042202896381171744,0.08194671352530476,0.12943086339019957,0.0,0.0,0.0,0.052005918243415855
0.08116420386484283,0.06550343378933099,0.056870234676049465,0.11715362424949961,0.0,0.0,0.0,0.14301223014394887,0.07393465032124887,0.0
0.0688235972611599,0.05554396805083107,0.0,0.0993410083398276,0.0,0.050777685822582685,0.0,0.0,0.0,0.0
0.03530276682866962,0.05698207681289449,0.09894394517088059,0.05095654097588146,0.0,0.10418477813020195,0.0669220207052166,0.0,0.06431647442009505,0.06279288701003095
0.09114187587495914,0.0,0.0,0.0,0.12772280446329826,0.0896586582244085,0.057591316982959856,0.053530999741734156,0.055349052920414726,0.0
0.0,0.04842675459625399,0.04204422179371293,0.0,0.04204422179371293,0.04427120741617784,0.0,0.0,0.0546599614728921,0.0
0.15443971080055652,0.0,0.17314081190086456,0.0,0.12985560892564843,0.0,0.1171060339158351,0.0544248977077473,0.05627331000630919,0.05494025642367284
0.13241478465868178,0.10686512854930572,0.0,0.04778236953082832,0.09278055496802194,0.09769492733937589,0.0,0.05832908091356137,0.06031008951560586,0.11776281802334196
0.08175840074931329,0.043988652921611485,0.07638210304458252,0.0393370989694551,0.0,0.08042788717464709,0.0,0.1920789488862624,0.04965061346740955,0.14542333311402744
0.09156261531574814,0.14779090841328507,0.0,0.06608142333204792,0.19246861938905763,0.0675544130010315,0.0,0.0,0.0,0.0
0.05839163622920236,0.0,0.08182784768031634,0.04214167997939673,0.0,0.08616208036502174,0.0,0.051443356315046894,0.0,0.0
0.0,0.1978023836431128,0.0,0.0,0.0,0.09041438381208407,0.0,0.0,0.0,0.0
0.0545055090915993,0.0,0.0,0.03933703299966001,0.038190987474460855,0.04021387614702703,0.0,0.0,0.14895159060438776,0.04847436307787534
0.09116802710455599,0.0,0.04258648393834915,0.08772886143059755,0.12775945181504744,0.04484219193806811,0.11521568318152445,0.053546359327559606,0.0,0.054053399012479596
0.12322061162765795,0.09944498671697519,0.043169185222715345,0.0889292357161478,0.0,0.09091151513561914,0.0,0.0,0.0,0.0
0.0526949488202534,0.08505473907752568,0.07384472373167238,0.11409101438759985,0.0,0.23326832616538593,0.0,0.0,0.0,0.0
0.12096551788522598,0.13016668948923601,0.0,0.0,0.11301102476650667,0.0,0.0,0.0,0.0,0.0
0.09942607807550251,0.08024164855971194,0.034832993634046495,0.0,0.034832993634046495,0.0,0.0,0.0,0.0905698813674885,0.0
0.06081767183579909,0.09816559888769238,0.21306900733680698,0.08778513599228267,0.0,0.13461286924108226,0.0,0.053580707179017556,0.055400448552665404,0.0
0.1322737992002804,0.10675134647297274,0.09268176910278325,0.0477314944016713,0.046340884551391626,0.04879545450715395,0.0,0.0,0.180737627393373,0.0
0.0405243506874655,0.06541021769972281,0.0,0.05849345311512074,0.056789304248666836,0.05979730293852433,0.0,0.0714043567358921,0.07382943600513132,0.07208049686933805
0.0,0.18834183776116983,0.0,0.0,0.0,0.0,0.0,0.0,0.14172272719339019,0.0
0.08934228177491713,0.0,0.06260046041348691,0.0644789920325046,0.06260046041348691,0.13183252533065692,0.0,0.07871104720041794,0.0,0.0
0.08747296511238228,0.0,0.12258133060813217,0.0,0.18387199591219827,0.0,0.0,0.07706416882285433,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.13082098826009472,0.0405326048880863,0.04190919847894984,0.08183283018844828
0.09956417218586812,0.0,0.0,0.0359281033434377,0.03488137361000825,0.0,0.0,0.0,0.09069567499663944,0.0442735964907236
0.0,0.0841205635250371,0.1460673406568675,0.0,0.07303367032843375,0.0,0.0,0.0,0.0949480674410541,0.0
0.0,0.0950230170065175,0.16499841196621587,0.0,0.0,0.08686899897132364,0.0,0.0,0.0,0.0
0.06837817985062827,0.11036898936233457,0.04791130756733479,0.0,0.09582261513466958,0.0,0.0,0.0,0.0,0.060811994455703164
0.030339464175035052,0.09794165349555169,0.0425165865103057,0.0,0.0425165865103057,0.08953718440839716,0.0,0.10691694679268957,0.11054812678015628,0.0
0.15847006800735114,0.0,0.0,0.09149522532391967,0.0,0.0,0.18024316151445438,0.0,0.05774185419975829,0.05637401240050348
0.11873482651332327,0.0,0.0,0.0,0.05546350999164732,0.058401284412324256,0.0,0.0,0.1442116509692727,0.0
0.03129807639243855,0.0,0.0,0.04517611098012809,0.0,0.04618311024562836,0.0,0.0,0.0,0.0
